,sol 1,sol 2,sol 3,sol 4,sol 5,sol 6
vial 17,0,0,0,0,0,0
vial 23,0,0,0,0,0,0
vial 28,0,0,0,0,0,0
vial 11,0,0,0,0,0,0
vial 36,0,0,0,0,0,0
vial 26,0,0,0,0,0,0
vial 32,0,0,0,0,0,0
vial 21,0,0,0,0,0,0
vial 40,0,0,0,0,0,0
vial 19,0,0,0,0,0,0
vial 14,0,0,0,0,0,0
vial 9,0,0,0,0,0,0
vial 43,0,0,0,0,0,0
vial 38,0,0,0,0,0,0
vial 25,0,0,0,0,0,0
vial 37,0,0,0,0,0,0
vial 18,0,0,0,0,0,0
vial 5,0,0,0,0,0,0
vial 7,0,0,0,0,0,0
vial 4,0,0,0,0,0,0
vial 12,0,0,0,0,0,0
vial 10,0,0,0,0,0,0
vial 35,0,0,0,0,0,0
vial 27,0,0,0,0,0,0
vial 8,0,0,0,0,0,0
vial 15,0,0,0,0,0,0
vial 22,0,0,0,0,0,0
vial 42,0,0,0,0,0,0
vial 6,0,0,0,0,0,0
vial 34,0,0,0,0,0,0
vial 41,0,0,0,0,0,0
vial 13,0,0,0,0,0,0
vial 16,0,0,0,0,0,0
vial 2,0,0,0,0,0,0
vial 45,0,0,0,0,0,0
vial 29,0,0,0,0,0,0
vial 3,0,0,0,0,0,0
vial 33,0,0,0,0,0,0
vial 44,0,0,0,0,0,0
vial 31,0,0,0,0,0,0
vial 24,0,0,0,0,0,0
vial 30,0,0,0,0,0,0
vial 20,0,0,0,0,0,0
vial 1,0,0,0,0,0,0
vial 39,0,0,0,0,0,0
