,Solution 1,Solution 2,Solution 3,Solution 4,x-coordinate,y-coordinate
Experiment 5,0.676,0.148,1.847,0.3289,28.0,16.0
Experiment 1,0.058,0.148,2.465,0.3289,56.0,16.0
Experiment 12,1.4164,0.0247,1.23,0.3289,84.0,16.0
Experiment 10,1.3424,0.0987,1.23,0.3289,113.0,16.0
Experiment 15,2.0067,0.0493,0.615,0.3289,142.0,16.0
Experiment 11,1.3917,0.0493,1.23,0.3289,171.0,16.0
Experiment 7,0.7747,0.0493,1.847,0.3289,199.0,16.0
Experiment 3,0.1567,0.0493,2.465,0.3289,28.0,44.0
Experiment 8,0.7994,0.0247,1.847,0.3289,56.0,44.0
Experiment 14,1.9574,0.0987,0.615,0.3289,84.0,44.0
Experiment 2,0.1074,0.0987,2.465,0.3289,113.0,44.0
Experiment 4,0.1814,0.0247,2.465,0.3289,142.0,44.0
Experiment 6,0.7254,0.0987,1.847,0.3289,171.0,44.0
Experiment 13,1.908,0.148,0.615,0.3289,199.0,44.0
Experiment 9,1.293,0.148,1.23,0.3289,28.0,72.0
Experiment 16,2.0314,0.0247,0.615,0.3289,56.0,72.0
